Vent	O2	CO2
-49	19	0.0
0	19	0.0
-98	19	0.0
148	19	0.0
49	19	0.0
49	19	0.0
-24	19	3.0
25	19	3.0
-123	19	3.0
222	19	3.0
123	19	3.0
74	19	3.0
11	19	4.5
60	19	4.5
-88	19	4.5
306	19	4.5
158	19	4.5
158	19	4.5
56	19	6.0
105	19	6.0
-141	19	6.0
400	19	6.0
253	19	6.0
203	19	6.0
146	19	9.0
244	19	9.0
-51	19	9.0
687	19	9.0
441	19	9.0
392	19	9.0
61	17	0.0
61	17	0.0
160	17	0.0
12	17	0.0
-86	17	0.0
-37	17	0.0
-11	17	3.0
136	17	3.0
-110	17	3.0
235	17	3.0
87	17	3.0
38	17	3.0
169	17	4.5
317	17	4.5
22	17	4.5
71	17	4.5
169	17	4.5
-77	17	4.5
413	17	6.0
-128	17	6.0
266	17	6.0
118	17	6.0
69	17	6.0
216	17	6.0
-46	17	9.0
446	17	9.0
397	17	9.0
249	17	9.0
692	17	9.0
151	17	9.0
73	15	0.0
-74	15	0.0
172	15	0.0
-25	15	0.0
73	15	0.0
24	15	0.0
-98	15	3.0
148	15	3.0
99	15	3.0
247	15	3.0
50	15	3.0
1	15	3.0
180	15	4.5
180	15	4.5
33	15	4.5
-66	15	4.5
82	15	4.5
328	15	4.5
574	15	6.0
131	15	6.0
328	15	6.0
279	15	6.0
33	15	6.0
-164	15	6.0
8	15	9.0
205	15	9.0
549	15	9.0
254	15	9.0
402	15	9.0
352	15	9.0
183	13	0.0
-63	13	0.0
-14	13	0.0
84	13	0.0
84	13	0.0
35	13	0.0
14	13	3.0
-85	13	3.0
63	13	3.0
112	13	3.0
161	13	3.0
260	13	3.0
192	13	4.5
-54	13	4.5
192	13	4.5
340	13	4.5
45	13	4.5
94	13	4.5
439	13	6.0
95	13	6.0
-102	13	6.0
292	13	6.0
242	13	6.0
144	13	6.0
701	13	9.0
406	13	9.0
258	13	9.0
160	13	9.0
455	13	9.0
-37	13	9.0
