"household size" income
2 45093.193
3 61589.428
3 53406.887
1 8037.618
3 31788.059
2 38730.215
4 174547.877
3 67922.151
2 128775.529
5 135918.935
5 102358.595
4 105343.391
5 104162.867
4 165493.627
3 71831.512
2 23774.467
3 121276.206
3 54430.601
2 59941.279
2 89560.062
5 141492.228
3 77778.037
4 61313.968
2 68917.852
4 41366.859
2 46799.323
2 125138.927
2 27674.062
3 73960.257
3 104241.615
2 25670.047
3 78851.790
2 56071.445
3 37744.709
1 16887.845
3 88580.291
4 155529.887
3 53638.134
4 177808.607
4 133801.141
1 10933.315
3 109623.603
4 101275.741
3 29064.630
1 56375.828
4 89479.344
2 109994.124
3 66631.473
1 122836.516
3 84927.530
